user_id,name,time,rating,text,pics,resp,gmap_id,score_sentimiento
1.1499210839610034e+20,Cherena Dukes,1574336225144,4,Nice homes in fairly new subdivisions.,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,3.843
1.0968253985173506e+20,Lee Morrison,1543167503668,2,Roads are terrible.  Neighbors park in yards. Certain teen causes issues at pool.,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,2.5
1.0163554378785653e+20,Yolanda Lee,1511012869245,4,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1790380203801438e+20,Alex Montgomery,1470080056470,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0910651401077775e+20,Kellye Talley,1523618730754,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0919878713110014e+20,David McLaurin,1526990435591,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0891808700139925e+20,Mark Howze,1547808603742,4,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0608101381051105e+20,Kim Carden,1559193272452,5,,[{'url': ['https://lh5.googleusercontent.com/p/AF1QipOegnwGPQXWZKCS0kYkZCxZjJ8pdnqN5bLyGXzZ=w150-h150-k-no-p']}],,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1297601905694363e+20,Kyiarra Crews,1557174265537,3,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1828949044236714e+20,Brandi Holland-Adams,1564806461691,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.026515531105706e+20,Katelyn Willis,1553879607437,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1475085511281708e+20,phil white,1578775076387,4,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0964829629260933e+20,Blak Majik,1543644225950,2,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1499210839610034e+20,Cherena Dukes,1574336225144,4,Nice homes in fairly new subdivisions.,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,3.843
1.0968253985173506e+20,Lee Morrison,1543167503668,2,Roads are terrible.  Neighbors park in yards. Certain teen causes issues at pool.,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,2.5
1.0163554378785653e+20,Yolanda Lee,1511012869245,4,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1790380203801438e+20,Alex Montgomery,1470080056470,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0910651401077775e+20,Kellye Talley,1523618730754,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0919878713110014e+20,David McLaurin,1526990435591,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0891808700139925e+20,Mark Howze,1547808603742,4,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0608101381051105e+20,Kim Carden,1559193272452,5,,[{'url': ['https://lh5.googleusercontent.com/p/AF1QipOegnwGPQXWZKCS0kYkZCxZjJ8pdnqN5bLyGXzZ=w150-h150-k-no-p']}],,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1297601905694363e+20,Kyiarra Crews,1557174265537,3,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1828949044236714e+20,Brandi Holland-Adams,1564806461691,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.026515531105706e+20,Katelyn Willis,1553879607437,5,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.1475085511281708e+20,phil white,1578775076387,4,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.0964829629260933e+20,Blak Majik,1543644225950,2,,,,0x88892dc32d67742d:0x91dc8f0e85b37f5e,0.0
1.126651865282926e+20,Charlie Cline,1454821094934,4,Good location. Nice staff. Clean. Breakfast area is small. Door is hard to enter if you are carrying anything. No fridge in room. Beds are comfortable.,,,0x88890491e9416625:0x2f85307a06ddb16,4.6884
1.086379570382014e+20,Jennifer Passmore,1491966256419,5,Super clean very friendly,,,0x88890491e9416625:0x2f85307a06ddb16,4.7554
1.0907909869564572e+20,TheBeckyboo926,1476494074021,5,Amazing! We had a conference room and it was awesome!,,,0x88890491e9416625:0x2f85307a06ddb16,4.7170000000000005
1.1708871685055442e+20,yolanda arellano,1479132766153,3,A bit on the pricey side but they take on pets at 40. Extra 😣,,,0x88890491e9416625:0x2f85307a06ddb16,3.0
1.1702837933167739e+20,Greg Randall,1464460773963,4,Solid hotel. Staff was friendly. Room was clean.,,,0x88890491e9416625:0x2f85307a06ddb16,4.5158000000000005
1.0537338761089915e+20,Aron Wilde,1471550806615,4,Convenient to interstate and restaurants.,,,0x88890491e9416625:0x2f85307a06ddb16,3.0
1.0647615290629128e+20,Segun Ajigbeda,1485135035750,5,It was good,,,0x88890491e9416625:0x2f85307a06ddb16,3.8808
1.0878963577217684e+20,fabyan dal gobbo,1478177202622,5,Like home,,,0x88890491e9416625:0x2f85307a06ddb16,3.7224
1.0430981398834276e+20,Jeremy Fanning,1482558419583,4,,,,0x88890491e9416625:0x2f85307a06ddb16,0.0
1.1284717183098356e+20,Roderick Bush,1483816342880,2,,,,0x88890491e9416625:0x2f85307a06ddb16,0.0
